profile_id,rule_id,parameter
DG_NEC,DOMINANT,5
DG_NEC,HARBINGER_OF_EVIL,18
DG_NEC,SPECTRAL_WALK
DG_NEC,TERROR
DG_NEC,WILL_OF_EVIL
DG_WK,DOMINANT,2
DG_WK,HARBINGER_OF_EVIL,12
DG_WK,TERROR
DG_WK,UNHOLY_RESURRECTION
DG_KHM,DOMINANT,2
DG_KHM,HARBINGER_OF_EVIL,12
DG_KHM,TERROR
DG_KHM,UNHOLY_RESURRECTION
DG_DH,DOMINANT,2
DG_DH,HARBINGER_OF_EVIL,12
DG_DH,TERROR
DG_DH,UNHOLY_RESURRECTION
DG_DH,EXECUTIONER
DG_FS,DOMINANT,2
DG_FS,HARBINGER_OF_EVIL,12
DG_FS,TERROR
DG_FS,UNHOLY_RESURRECTION
DG_FS,BANE_OF_KINGS
DG_LS,DOMINANT,2
DG_LS,HARBINGER_OF_EVIL,12
DG_LS,TERROR
DG_LS,UNHOLY_RESURRECTION
DG_LS,UNNATURAL_SPEED
DG_AK,DOMINANT,2
DG_AK,HARBINGER_OF_EVIL,12
DG_AK,TERROR
DG_AK,UNHOLY_RESURRECTION
DG_AK,SPIRITUAL_DISPLACEMENT
DG_SM,DOMINANT,2
DG_SM,HARBINGER_OF_EVIL,12
DG_SM,TERROR
DG_SM,UNHOLY_RESURRECTION
DG_SM,ANGMAR_ARISE_SOM
DG_MGS,POISONED_ATTACKS
DG_MGS,SWIFT_MOVEMENT
DG_MGS,TERROR
DG_MGS,SPIDER_WEBS
DG_MHS,POISONED_ATTACKS
DG_MHS,STALK_UNSEEN
DG_MHS,SWIFT_MOVEMENT
DG_MHS,TERROR
DG_MHS,SILENT_HUNTERS
