profile_id,wargear_id
IH_WR,WG_HEAVY_ARMOUR
IH_WR,WG_HAND_WEAPON
IH_DAIN,WG_HEAVY_DWARF_ARMOUR
IH_DAIN,WG_TWO_HANDED_WEAPON
IH_CAP,WG_HEAVY_ARMOUR
IH_CAP,WG_SHIELD
IH_CAP,WG_SPEAR
IH_CAP,WG_HAND_WEAPON
IH_GR,WG_HEAVY_ARMOUR
IH_GR,WG_WAR_SPEAR
IH_GR,WG_HAND_WEAPON
IH_CHARIOT,WG_HEAVY_ARMOUR
IH_CHARIOT,WG_HAND_WEAPON
IH_CHARIOT,WG_RAPID_FIRE_BOLT_THROWER
DALE_GIRION,WG_ARMOUR
DALE_GIRION,WG_HAND_WEAPON
DALE_CAPTAIN,WG_ARMOUR
DALE_CAPTAIN,WG_SHIELD
DALE_CAPTAIN,WG_HAND_WEAPON
DALE_WARRIOR,WG_ARMOUR
DALE_WARRIOR,WG_HAND_WEAPON
DALE_SIEGE_CREW,WG_ARMOUR
DALE_SIEGE_CREW,WG_HAND_WEAPON
IH_SIEGE_CREW,WG_HEAVY_ARMOUR
IH_SIEGE_CREW,WG_HAND_WEAPON
BARD,WG_HAND_WEAPON
BARD,WG_GREAT_BOW
BAIN,WG_HAND_WEAPON
