profile_id,heroic_action_id
DG_NEC,HEROIC_MOVE
DG_NEC,HEROIC_SHOOT
DG_NEC,HEROIC_COMBAT
DG_NEC,HEROIC_CHALLENGE
DG_NEC,HEROIC_CHANNELING
DG_NEC,HEROIC_STRENGTH
DG_WK,HEROIC_MOVE
DG_WK,HEROIC_SHOOT
DG_WK,HEROIC_COMBAT
DG_WK,HEROIC_STRIKE
DG_KHM,HEROIC_MOVE
DG_KHM,HEROIC_SHOOT
DG_KHM,HEROIC_COMBAT
DG_KHM,HEROIC_STRIKE
DG_DH,HEROIC_MOVE
DG_DH,HEROIC_SHOOT
DG_DH,HEROIC_COMBAT
DG_DH,HEROIC_STRIKE
DG_FS,HEROIC_MOVE
DG_FS,HEROIC_SHOOT
DG_FS,HEROIC_COMBAT
DG_FS,HEROIC_STRIKE
DG_LS,HEROIC_MOVE
DG_LS,HEROIC_SHOOT
DG_LS,HEROIC_COMBAT
DG_LS,HEROIC_STRIKE
DG_AK,HEROIC_MOVE
DG_AK,HEROIC_SHOOT
DG_AK,HEROIC_COMBAT
DG_AK,HEROIC_STRIKE
DG_SM,HEROIC_MOVE
DG_SM,HEROIC_SHOOT
DG_SM,HEROIC_COMBAT
DG_SM,HEROIC_STRIKE
